id,titulo,score,data_publicacao,link,snippet
1,"Resolução nº 507, de 16 de março de 2016",31.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2016/resolucao-no-507.pdf/view","...saúde, valorizando a promoção da saúde, a prevenção de doenças e o diagnóstico precoce, particularmente, no que se referem à saúde mental, doenças raras e negligenciadas (como a doença ..."
2,"Resolução nº 617, de 23 de agosto de 2019",26.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2019/resolucao-no-617.pdf/view","... 14) Reafirmar, implantar e garantir o cumprimento das Políticas Públicas de Saúde direcionadas à população do Campo, Floresta e Água, LGBTI+, Indígenas, Quilombolas, Pessoas com Doenças R..."
3,"Resolução nº 563, de 10 de novembro de 2017",24.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2017/resolucao-no-563.pdf/view","...mental pode curar, retardar a progressão da doença e atenuar os efeitos da doença ultrarrara, sobretudo em crianças, e que esta tem sido uma reinvindicação dos pacientes com doenças ultrarra..."
4,"Resolução nº 719, de 17 de agosto de 2023",24.00,"25/08/2023","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2023/resolucao-no-719.pdf/view","...a Saúde / Conselho Nacional de Saúde 4/203 negras, idosas, mulheres, homens, adolescentes, crianças, LGBTQIA+, com deficiência, pessoas com doenças crônicas, com patologias e doenças raras, ..."
5,"Resolução nº 772, de 13 de fevereiro de 2025",16.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2025/resolucao-no-772-de-13-de-fevereiro-de-2025/view","...om Condições Crônicas Não Transmissíveis, conforme a resolução aprovada na 77a Assembleia Mundial da Saúde, em 2024 (Social Participation For Universal Health Coverage, Health and Well-bein..."
6,"Resolução nº 715, de 20 de julho de 2023",12.00,"24/07/2023","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2023/resolucao-no-715.pdf/view","...nanciamento adequado à população negra, às mulheres, homens, LGBTIA+, à pessoa idosa, adolescentes, crianças, pessoas com deficiência, com patologias, doenças crônicas, doenças raras, com..."
7,"Resolução nº 744, de 14 de março de 2024",11.00,"04/04/2025","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2024/resolucao-no-744-de-14-de-marco-de-2024/view","...as com deficiência, estimulando, especialmente, a diversidade dessa população, como pessoas com deficiência psicossocial e intelectual; e VI - Pessoas com patologias, doenças raras ou negligen..."
8,"Resolução nº 671, de 05 de abril de 2022",11.00,"06/04/2022","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2022/resolucao-no-671.pdf/view","...pessoas com deficiência e à saúde bucal. VI - Garantia da atenção integral à saúde da mulher, do homem, da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, rara..."
9,"Resolução nº 680, de 5 de agosto de 2022",10.00,"05/08/2022","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2022/resolucao-no-680.pdf/view","...tados; V - Pessoas com deficiência, estimulando, especialmente, a diversidade dessa população, como pessoas com deficiência psicossocial e intelectual; e VI - Pessoas com patologias, doenças r..."
10,"Resolução nº 732, de 01 de fevereiro de 2024",10.00,"05/02/2024","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2024/resolucao-no-732.pdf/view","...das; V - Pessoas com deficiência, estimulando, especialmente, a diversidade dessa população, como pessoas com deficiência psicossocial e intelectual; e VI - Pessoas com patologias, doenças rar..."
11,"Resolução nº 655, de 13 de abril de 2021",8.00,"14/04/2021","https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2021/resolucao-no-655.pdf/view","...deficiência e à saúde bucal. VI - Garantia da atenção integral à saúde da mulher, do homem, da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, raras e negligen..."
