id,titulo,score,data_publicacao,link,snippet
1,"Resolução nº 507, de 16 de março de 2016",31.0,04/04/2025,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2016/resolucao-no-507.pdf/view,"...saúde, valorizando a promoção da saúde, a prevenção de doenças e o diagnóstico precoce, particularmente, no que se referem à saúde mental, doenças raras e negligenciadas (como a doença cel..."
2,"Resolução nº 617, de 23 de agosto de 2019",26.0,04/04/2025,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2019/resolucao-no-617.pdf/view,"... 14) Reafirmar, implantar e garantir o cumprimento das Políticas Públicas de Saúde direcionadas à população do Campo, Floresta e Água, LGBTI+, Indígenas, Quilombolas, Pessoas com Doenças Rara..."
3,"Resolução nº 563, de 10 de novembro de 2017",24.0,04/04/2025,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2017/resolucao-no-563.pdf/view,"...mental pode curar, retardar a progressão da doença e atenuar os efeitos da doença ultrarrara, sobretudo em crianças, e que esta tem sido uma reinvindicação dos pacientes com doenças ultrarraras..."
4,"Resolução nº 719, de 17 de agosto de 2023",24.0,25/08/2023,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2023/resolucao-no-719.pdf/view,"...a Saúde / Conselho Nacional de Saúde 4/203 negras, idosas, mulheres, homens, adolescentes, crianças, LGBTQIA+, com deficiência, pessoas com doenças crônicas, com patologias e doenças raras, com..."
5,"Resolução nº 772, de 13 de fevereiro de 2025",16.0,04/04/2025,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2025/resolucao-no-772-de-13-de-fevereiro-de-2025/view,"...om Condições Crônicas Não Transmissíveis, conforme a resolução aprovada na 77a Assembleia Mundial da Saúde, em 2024 (Social Participation For Universal Health Coverage, Health and Well-being),..."
6,"Resolução nº 715, de 20 de julho de 2023",12.0,24/07/2023,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2023/resolucao-no-715.pdf/view,"...nanciamento adequado à população negra, às mulheres, homens, LGBTIA+, à pessoa idosa, adolescentes, crianças, pessoas com deficiência, com patologias, doenças crônicas, doenças raras, comuni..."
7,"Resolução nº 744, de 14 de março de 2024",11.0,04/04/2025,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2024/resolucao-no-744-de-14-de-marco-de-2024/view,"...as com deficiência, estimulando, especialmente, a diversidade dessa população, como pessoas com deficiência psicossocial e intelectual; e VI - Pessoas com patologias, doenças raras ou negligencia..."
8,"Resolução nº 671, de 05 de abril de 2022",11.0,06/04/2022,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2022/resolucao-no-671.pdf/view,"...pessoas com deficiência e à saúde bucal. VI - Garantia da atenção integral à saúde da mulher, do homem, da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, raras e..."
9,"Resolução nº 680, de 5 de agosto de 2022",10.0,05/08/2022,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2022/resolucao-no-680.pdf/view,"...tados; V - Pessoas com deficiência, estimulando, especialmente, a diversidade dessa população, como pessoas com deficiência psicossocial e intelectual; e VI - Pessoas com patologias, doenças rara..."
10,"Resolução nº 732, de 01 de fevereiro de 2024",10.0,05/02/2024,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2024/resolucao-no-732.pdf/view,"...das; V - Pessoas com deficiência, estimulando, especialmente, a diversidade dessa população, como pessoas com deficiência psicossocial e intelectual; e VI - Pessoas com patologias, doenças raras ..."
11,"Resolução nº 655, de 13 de abril de 2021",8.0,14/04/2021,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2021/resolucao-no-655.pdf/view,"...deficiência e à saúde bucal. VI - Garantia da atenção integral à saúde da mulher, do homem, da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, raras e negligencia..."
12,"Resolução nº 687, de 14 de setembro de 2022",7.0,06/10/2022,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2022/resolucao-no-687.pdf/view,"...ociação Brasileira de Linfoma e Leucemia (ABRALE); h) Associação Brasileira de Nutrição (ASBRAN); i) Associação Brasileira Superando o Lúpus, Doenças Reumáticas e Doenças Raras (SUPERANDO)..."
13,"Resolução nº 579, de 22 de fevereiro de 2018",6.0,04/04/2025,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2018/resolucao-no-579.pdf/view,"...ão às pessoas com deficiência e à saúde bucal; VI - garantia da atenção integral à saúde da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, raras e negligenciad..."
14,"Resolução nº 640, de 14 de fevereiro de 2020",6.0,17/02/2020,https://www.gov.br/conselho-nacional-de-saude/pt-br/acesso-a-informacao/atos-normativos/resolucoes/2020/resolucao-no-640.pdf/view,"...̀s pessoas com deficiência e à saúde bucal; VI - garantia da atenção integral à saúde da mulher, do homem, da pessoa com deficiência, da pessoa idosa e das pessoas com doenças crônicas, rara..."
